category,type,name,url,url_img,price,stock,manufacturer,flush,spec,housing,connection,size,material,IP,output_structure,voltage,output_type,adjust,distance,indicator,temperature
Индуктивные датчики,Индуктивный датчик,ISB A4A-31N-5F-LZ,https://teko-com.ru/product/isb-a4a-31n-5f-lz.html,/static/main/img/ind_TEKO/ISB_20A4A-228x228.jpg,1760,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅18,Алюминий,IP 67,NPN,10-30 [DC],NO,Нет,5.0,Есть,-15...+65
Индуктивные датчики,Индуктивный датчик,ISB A4A-22-5-LP,https://teko-com.ru/product/isb-a4a-22-5-lp.html,/static/main/img/ind_TEKO/ISB_20A4A-228x228.jpg,1800,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅18,Алюминий,IP 67,Двухпроводный датчик,10-30 [DC],NC,Нет,5.0,Есть,-15...+65
Индуктивные датчики,Индуктивный датчик,ISB A42A8-11G-5-LZ-H,https://teko-com.ru/product/isb-a42a8-11g-5-lz-h.html,/static/main/img/ind_TEKO/ISB_A42A8_3d-228x228.jpg,4720,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅18,Алюминий,IP 68,Двухпроводный датчик,20-320 [DC] / 20-250 [AC],NO,Нет,5.0,Есть,-15...+105
Индуктивные датчики,Индуктивный датчик,ISB A42A8-11G-5-LZ,https://teko-com.ru/product/isb-a42a8-11g-5-lz.html,/static/main/img/ind_TEKO/ISB_A42A8_3d-228x228.jpg,2450,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅18,Алюминий,IP 68,Двухпроводный датчик,20-320 [DC] / 20-250 [AC],NO,Нет,5.0,Есть,-15...+65
Индуктивные датчики,Индуктивный датчик,ISB A42A-12-5-LZ,https://teko-com.ru/product/isb-a42a-12-5-lz.html,/static/main/img/ind_TEKO/ISB_A42A_3d-228x228.jpg,2050,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅18,Алюминий,IP 67,Двухпроводный датчик,20-320 [DC] / 20-250 [AC],NC,Нет,5.0,Есть,-15...+65
Индуктивные датчики,Индуктивный датчик,ISB A42A-11G-5-LZ-H,https://teko-com.ru/product/isb-a42a-11g-5-lz-h.html,/static/main/img/ind_TEKO/ISB_A42A_3d-228x228.jpg,4140,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅18,Алюминий,IP 67,Двухпроводный датчик,20-320 [DC] / 20-250 [AC],NO,Нет,5.0,Есть,-15...+105
Индуктивные датчики,Индуктивный датчик,ISB A42A-02G-7E-L,https://teko-com.ru/product/isb-a42a-02g-7e-l.html,/static/main/img/ind_TEKO/ISB_A42A_3d-228x228.jpg,3200,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅18,Алюминий,IP 67,Двухпроводный датчик,90-250 [AC],NC,Нет,7.0,Нет,-15...+65
Индуктивные датчики,Индуктивный датчик,ISB A42A-02G-5E-L,https://teko-com.ru/product/isb-a42a-02g-5e-l.html,/static/main/img/ind_TEKO/ISB_A42A_3d-228x228.jpg,2890,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅18,Алюминий,IP 67,Двухпроводный датчик,90-250 [AC],NC,Нет,5.0,Нет,-15...+65
Индуктивные датчики,Индуктивный датчик,ISB A42A-02G-5-L,https://teko-com.ru/product/isb-a42a-02g-5-l.html,/static/main/img/ind_TEKO/ISB_A42A_3d-228x228.jpg,2190,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅18,Алюминий,IP 67,Двухпроводный датчик,90-250 [AC],NC,Нет,5.0,Нет,-15...+65
Индуктивные датчики,Индуктивный датчик,ISB A42A-01G-5E-L,https://teko-com.ru/product/isb-a42a-01g-5e-l.html,/static/main/img/ind_TEKO/ISB_A42A_3d-228x228.jpg,1960,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅18,Алюминий,IP 67,Двухпроводный датчик,90-250 [AC],NO,Нет,5.0,Нет,-15...+65
